run0,run1,run2,run3,run4,run5,run6,run7,run8,run9,1_model,2_mean,3_std
0.7917044591908549,0.7875591083535369,0.7864065954024593,0.78929328580894,0.7920573019554398,0.7935750942048706,0.7929926984100043,0.7918744648370504,0.7976769506335238,0.79193804936065,AudioNTT2020-BYOLA-64x96d2048,0.791507800815733,0.0030284609981853
0.7814731324184321,0.7829140537947785,0.7849936795032516,0.7894444409796625,0.7859257817710893,0.7842228256522089,0.7818873556932566,0.7859359789126718,0.7839121620891822,0.787223269316332,epoch=78-step=74181,0.7847932680130866,0.0023295424801495
0.6310285840788927,0.6335793055144093,0.6312085840635813,0.6366360599314534,0.633744809550124,0.6353650938175829,0.6342862358964436,0.6334768127519832,0.6399286124550613,0.6357766722285236,AudioNTT2020-BYOLA-64x96d2048,0.6345030770288055,0.0024860715070353
0.6310285840788927,0.6335793055144093,0.6312085840635813,0.6366360599314534,0.633744809550124,0.6353650938175829,0.6342862358964436,0.6334768127519832,0.6399286124550613,0.6357766722285236,epoch=1-step=1878,0.6345030770288055,0.0024860715070353
0.7393095326052046,0.738352040093087,0.7466297124918069,0.7419640667815605,0.7416305440233899,0.7371609480866165,0.7389644866969378,0.7412028948177223,0.7351798615369057,0.741067681839769,epoch=1-step=1878,0.7401461768973,0.0029732355928898
0.6959797522866237,0.6909908990310036,0.688625202014516,0.6900379038290143,0.6869996471655726,0.68484897088849,0.688697892308755,0.6931018326949151,0.6933274808190978,0.6934397866110967,epoch=1-step=1878,0.6906049367649084,0.0032361654574767
0.7288370864783074,0.7220809803533917,0.7245279187413549,0.7278783864789722,0.7252509121941286,0.7215387581743798,0.7278108593991865,0.7259855178760954,0.7213325394092168,0.7296077510570118,epoch=67-step=63852,0.7254850710162046,0.0029154056974595
0.7711849231936889,0.7724442206674391,0.7730041250216045,0.7719500545720825,0.7705611757466614,0.7690051157419394,0.7774688620102919,0.7725067332634269,0.7712630350290508,0.7660468467906453,epoch=67-step=63852,0.771543509203683,0.0027744645082724
0.7540352484526481,0.7549982189419943,0.7582370936179355,0.7606789675787873,0.763514184299136,0.763579219991071,0.7592154595269752,0.7555741140413895,0.765553338973129,0.7570983090839636,epoch=10-step=10329,0.7592484154507029,0.0037833818012369
0.7580702916241628,0.7666687844948935,0.7631142938496673,0.7627276648147117,0.7575962402350997,0.7654975641250219,0.7626622635895315,0.7618354667029621,0.7638678949575952,0.7613407523143445,epoch=15-step=15024,0.7623381216707991,0.0027181500883747
0.7580702916241628,,,,,,,,,,epoch=15-step=15024,0.7580702916241628,0.0
0.7471425489507417,0.7481117478933409,,,,,,,,,epoch=19-step=18780,0.7476271484220414,0.0004845994712995
0.7606649664221071,0.7574251324158683,0.7550531133553002,0.75815436068877,0.7617074908262442,0.7663284405345113,0.7643079291145807,0.7581742545761198,0.7616809976096417,0.7645027301925422,epoch=499-step=235000,0.7607999415735687,0.003413323108494912
